"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18000","_12_InsertMaterialFromSearchIntoOperation","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:42 UTC 2025","","Syteline","Syteline",""
"","46000","_06_UpdatePartStructure","","Tue Apr 01 11:27:21 UTC 2025","failed","Tue Apr 01 11:28:07 UTC 2025","","WindchillTestPlan","WindchillTestPlan",""
"","51000","_01_SettingUpCADTalk","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:50 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","57000","_03_Login","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:56 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","15000","_11_DeleteTheOperation","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:39 UTC 2025","","Syteline","Syteline",""
"","22000","_04_UpdateExistingItem","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:46 UTC 2025","","Syteline","Syteline",""
"","19000","_06_UpdateTheExistingOperation","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:43 UTC 2025","","Syteline","Syteline",""
"","32000","_04_CreateEnggPart","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:31 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","47000","_01_SettingUpCADTalk","","Fri Apr 04 08:48:49 UTC 2025","failed","Fri Apr 04 08:49:36 UTC 2025","","Arena Test Plan","Arena Test Plan",""
"","52000","_07_DeleteRevision","","Wed Mar 26 06:46:06 UTC 2025","passed","Wed Mar 26 06:46:58 UTC 2025","","IFSCloudEngPart","IFSCloudEngPart",""
"","60000","_18_DragAndDropForMaterials","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:47:24 UTC 2025","","Syteline","Syteline",""
"","14000","_05_UpdateExistingItem","","Fri Apr 04 08:48:49 UTC 2025","failed","Fri Apr 04 08:49:03 UTC 2025","","Arena Test Plan","Arena Test Plan",""
"","21000","_07_RevisionsLoadInCorrectOrder","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:20 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","19000","_05_AddNewRevision","","Wed Mar 26 06:46:06 UTC 2025","passed","Wed Mar 26 06:46:25 UTC 2025","","IFSCloudEngPart","IFSCloudEngPart",""
"","39000","_10_InsertOperationAfterCurrent","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:47:03 UTC 2025","","Syteline","Syteline",""
"","17000","_08_UpdateTheMaterial","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:41 UTC 2025","","Syteline","Syteline",""
"","18000","_13_AddMaterialInsideStructure","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:17 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","17000","_15_UpdateMaterialFromSearchIntoTheMaterial","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:41 UTC 2025","","Syteline","Syteline",""
"","59000","_02_Login","","Wed Mar 26 06:46:06 UTC 2025","passed","Wed Mar 26 06:47:05 UTC 2025","","IFSCloudEngPart","IFSCloudEngPart",""
"","29000","_03_Login","","Fri Apr 04 08:48:49 UTC 2025","failed","Fri Apr 04 08:49:18 UTC 2025","","Arena Test Plan","Arena Test Plan",""
"","61000","_04_CreatePartStructure","","Tue Apr 01 11:27:21 UTC 2025","failed","Tue Apr 01 11:28:22 UTC 2025","","WindchillTestPlan","WindchillTestPlan",""
